epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,502.225,0.55588,0.61299,1.09616,0.89714,0.827,0.90679,0.75846,0.65641,0.62,1.15119,0.000990365,0.000990365,0.000990365
43,514.405,0.53465,0.55967,1.08868,0.89405,0.80972,0.90489,0.76991,0.66697,0.61217,1.15339,0.000973861,0.000973861,0.000973861
44,526.494,0.56677,0.56297,1.09178,0.91798,0.82362,0.90543,0.76516,0.63882,0.61746,1.13247,0.000957358,0.000957358,0.000957358
45,537.583,0.57259,0.57368,1.09327,0.9379,0.82205,0.90485,0.76859,0.63209,0.59047,1.12208,0.000940855,0.000940855,0.000940855
46,549.204,0.55446,0.56994,1.10186,0.88952,0.81509,0.89652,0.74853,0.64729,0.65168,1.13468,0.000924352,0.000924352,0.000924352
47,561.362,0.55047,0.5471,1.10158,0.88859,0.8366,0.88953,0.74317,0.65394,0.66523,1.17435,0.000907848,0.000907848,0.000907848
48,573.427,0.53977,0.54951,1.06593,0.91015,0.84255,0.89796,0.76748,0.62716,0.60944,1.13471,0.000891345,0.000891345,0.000891345
49,585.383,0.52616,0.53876,1.07123,0.88444,0.83775,0.89863,0.76188,0.63365,0.66105,1.13045,0.000874842,0.000874842,0.000874842
50,597.323,0.53413,0.55206,1.07542,0.94569,0.82388,0.90106,0.74315,0.67167,0.67784,1.1744,0.000858338,0.000858338,0.000858338
51,608.228,0.56154,0.57469,1.08569,0.92175,0.82436,0.90094,0.74484,0.66262,0.64608,1.16664,0.000841835,0.000841835,0.000841835
52,619.294,0.52978,0.52541,1.06479,0.90181,0.86809,0.9073,0.77804,0.60728,0.58643,1.11518,0.000825332,0.000825332,0.000825332
53,631.31,0.53365,0.53699,1.07242,0.90028,0.81973,0.89749,0.74879,0.67071,0.60785,1.17656,0.000808828,0.000808828,0.000808828
54,643.164,0.52558,0.53587,1.07786,0.89093,0.86943,0.88961,0.75256,0.62221,0.58683,1.11071,0.000792325,0.000792325,0.000792325
55,655.426,0.49806,0.53334,1.06355,0.92774,0.82665,0.90382,0.77432,0.61786,0.60923,1.11408,0.000775822,0.000775822,0.000775822
56,667.441,0.51592,0.51828,1.06303,0.91406,0.85273,0.9076,0.77431,0.62389,0.63155,1.10822,0.000759318,0.000759318,0.000759318
57,679.058,0.52628,0.52343,1.07124,0.92245,0.85004,0.91277,0.77141,0.61463,0.62112,1.12552,0.000742815,0.000742815,0.000742815
58,690.115,0.52697,0.51159,1.07421,0.898,0.84197,0.91427,0.77028,0.66011,0.60531,1.15082,0.000726312,0.000726312,0.000726312
59,702.264,0.49561,0.50441,1.05193,0.91126,0.8026,0.89844,0.76085,0.60752,0.64133,1.12053,0.000709809,0.000709809,0.000709809
60,714.392,0.48633,0.48527,1.03995,0.89966,0.84313,0.90504,0.77989,0.57711,0.58928,1.08266,0.000693305,0.000693305,0.000693305
61,726.415,0.49909,0.50248,1.0532,0.88487,0.83147,0.89043,0.751,0.61197,0.66549,1.10228,0.000676802,0.000676802,0.000676802
62,738.712,0.48544,0.50021,1.04067,0.92203,0.84338,0.91226,0.77438,0.60177,0.57379,1.10058,0.000660299,0.000660299,0.000660299
63,750.534,0.48458,0.49381,1.0459,0.93057,0.836,0.90467,0.76261,0.63414,0.60831,1.14049,0.000643795,0.000643795,0.000643795
64,761.285,0.45765,0.46161,1.03572,0.94429,0.85499,0.91725,0.78387,0.59106,0.57272,1.09632,0.000627292,0.000627292,0.000627292
65,773.173,0.46648,0.46496,1.05244,0.94248,0.85326,0.91224,0.77876,0.59899,0.59985,1.09941,0.000610789,0.000610789,0.000610789
66,785.337,0.48423,0.47974,1.05159,0.90863,0.83278,0.91034,0.77725,0.60581,0.56722,1.11412,0.000594286,0.000594286,0.000594286
67,797.58,0.48159,0.46101,1.03205,0.93254,0.83779,0.90699,0.78792,0.55653,0.5535,1.06321,0.000577782,0.000577782,0.000577782
68,809.596,0.49583,0.46519,1.0474,0.92401,0.84255,0.89647,0.78222,0.56818,0.57091,1.07545,0.000561279,0.000561279,0.000561279
69,821.782,0.49402,0.48451,1.06246,0.9251,0.8533,0.90172,0.77732,0.57659,0.56133,1.08152,0.000544776,0.000544776,0.000544776
70,832.822,0.46433,0.45836,1.02981,0.88302,0.87001,0.89912,0.77582,0.56815,0.5494,1.05706,0.000528272,0.000528272,0.000528272
71,844.248,0.47887,0.45707,1.02657,0.94604,0.82642,0.91145,0.79439,0.54762,0.5722,1.05381,0.000511769,0.000511769,0.000511769
72,856.381,0.46801,0.4636,1.03391,0.93291,0.85604,0.91134,0.78978,0.57446,0.55254,1.06197,0.000495266,0.000495266,0.000495266
73,868.585,0.45634,0.44604,1.02658,0.93973,0.82057,0.90717,0.77084,0.58646,0.56177,1.08688,0.000478762,0.000478762,0.000478762
74,880.673,0.44415,0.41919,1.01072,0.92998,0.81394,0.90009,0.783,0.57013,0.58889,1.06295,0.000462259,0.000462259,0.000462259
75,892.762,0.44789,0.43499,1.02815,0.93925,0.82739,0.90922,0.79273,0.54113,0.54196,1.05162,0.000445756,0.000445756,0.000445756
76,904.66,0.41251,0.40665,1.00188,0.90113,0.86418,0.91804,0.80294,0.52756,0.52994,1.04262,0.000429253,0.000429253,0.000429253
77,915.687,0.43603,0.42852,1.01286,0.93724,0.85388,0.91893,0.80406,0.52739,0.53097,1.04609,0.000412749,0.000412749,0.000412749
78,927.563,0.41639,0.42007,1.00728,0.95317,0.82642,0.91618,0.79917,0.53853,0.54224,1.04404,0.000396246,0.000396246,0.000396246
79,939.718,0.42177,0.41266,1.01904,0.93313,0.85273,0.91413,0.79547,0.57261,0.55004,1.07484,0.000379743,0.000379743,0.000379743
80,951.907,0.43312,0.42434,1.01827,0.95381,0.83919,0.91851,0.80231,0.55712,0.54897,1.05691,0.000363239,0.000363239,0.000363239
81,963.897,0.41292,0.39847,1.00639,0.89387,0.84847,0.91328,0.79994,0.55825,0.54425,1.06993,0.000346736,0.000346736,0.000346736
82,976.027,0.40315,0.39476,1.00011,0.93272,0.81432,0.90383,0.78659,0.5563,0.53086,1.06703,0.000330233,0.000330233,0.000330233
83,987.097,0.43022,0.42212,1.01631,0.93316,0.84197,0.90653,0.79229,0.54982,0.54033,1.05474,0.000313729,0.000313729,0.000313729
84,998.467,0.41937,0.39189,1.00537,0.93693,0.83717,0.90801,0.79722,0.53536,0.53187,1.0448,0.000297226,0.000297226,0.000297226
85,1010.48,0.40378,0.39178,1.02483,0.94714,0.81567,0.90151,0.80032,0.52276,0.54734,1.03955,0.000280723,0.000280723,0.000280723
86,1022.35,0.39752,0.38777,1.00952,0.94593,0.82104,0.90475,0.79884,0.54041,0.55435,1.04963,0.00026422,0.00026422,0.00026422
87,1034.19,0.40757,0.37282,1.00089,0.91809,0.84793,0.91017,0.79639,0.54887,0.54124,1.05578,0.000247716,0.000247716,0.000247716
88,1046.17,0.3737,0.36334,0.97646,0.9479,0.8302,0.91702,0.80936,0.53212,0.54113,1.03605,0.000231213,0.000231213,0.000231213
89,1057.36,0.4085,0.37592,1.00456,0.93726,0.82459,0.91467,0.80771,0.52251,0.53705,1.02895,0.00021471,0.00021471,0.00021471
90,1068.76,0.38394,0.37517,1.00043,0.95473,0.83717,0.91492,0.7989,0.54519,0.55437,1.05196,0.000198206,0.000198206,0.000198206
91,1081.81,0.31319,0.3168,0.93405,0.94591,0.8533,0.9126,0.80358,0.52764,0.53301,1.03897,0.000181703,0.000181703,0.000181703
92,1093.25,0.30119,0.30783,0.93853,0.93768,0.8318,0.91399,0.79981,0.51943,0.54615,1.03784,0.0001652,0.0001652,0.0001652
93,1104.92,0.30451,0.31042,0.93197,0.95625,0.83592,0.91192,0.80378,0.53837,0.52741,1.05957,0.000148696,0.000148696,0.000148696
94,1116.47,0.28842,0.27802,0.91647,0.9532,0.8318,0.91046,0.79946,0.53703,0.52242,1.04652,0.000132193,0.000132193,0.000132193
95,1126.26,0.29829,0.29058,0.93014,0.95101,0.83905,0.91417,0.80192,0.53519,0.52865,1.04335,0.00011569,0.00011569,0.00011569
96,1137.84,0.29113,0.2822,0.91435,0.93487,0.84723,0.9168,0.81159,0.51872,0.53625,1.02663,9.91865e-05,9.91865e-05,9.91865e-05
97,1149.25,0.2867,0.28305,0.91225,0.92894,0.85049,0.91567,0.81344,0.51713,0.53619,1.02108,8.26832e-05,8.26832e-05,8.26832e-05
98,1160.64,0.28322,0.28375,0.91813,0.91644,0.85388,0.91222,0.8057,0.52006,0.54832,1.02237,6.61799e-05,6.61799e-05,6.61799e-05
99,1171.75,0.28009,0.27816,0.9082,0.91732,0.85388,0.91582,0.81175,0.51318,0.53664,1.01534,4.96766e-05,4.96766e-05,4.96766e-05
100,1181.81,0.27759,0.2804,0.91607,0.93692,0.84396,0.91719,0.811,0.51711,0.53747,1.01938,3.31733e-05,3.31733e-05,3.31733e-05
